,aggregate,predictions,Scaling_1,residuals,hour_cosin,minute_cosin,Attack_Belief,NonAttack_Belief,Targets
59,0.07843939,0.09439355,0.0784394,0.015954155,-0.7518398,-1.8369701e-16,3.8452885e-09,1.0,0
60,0.07831818,0.09830834,0.07831818,0.019990157,-0.70710677,1.0,3.2029024e-10,1.0,0
61,0.08204735,0.10682164,0.08204735,0.02477429,-0.6593458,2.8327693e-16,2.8632337e-09,1.0,0
62,0.085776515,0.108927235,0.085776515,0.023150714,-0.6087614,-1.0,5.8650734e-10,1.0,0
63,0.08950568,0.09962707,0.08950569,0.010121388,-0.55557024,-1.8369701e-16,2.67009e-09,1.0,0
64,0.09323485,0.10409989,0.09323485,0.010865036,-0.5,1.0,9.421478e-16,1.0,0
65,0.09184733,0.115687676,0.09184733,0.023840353,-0.4422887,2.8327693e-16,4.5219752e-12,1.0,0
66,0.09751515,0.116020404,0.09751515,0.018505247,-0.38268343,-1.0,2.4612353e-07,0.99999976,0
67,0.097363636,0.10886005,0.097363636,0.01149641,-0.32143947,-1.8369701e-16,1.8628919e-10,1.0,0
68,0.10491666,0.110844016,0.10491667,0.0059273434,-0.25881904,1.0,2.3687692e-13,1.0,0
69,0.09172519,0.123871475,0.09172519,0.032146282,-0.19509032,2.8327693e-16,2.14827e-09,1.0,0
70,0.09779546,0.11980734,0.09779546,0.022011884,-0.13052619,-1.0,1.39158e-09,1.0,0
71,0.091242425,0.11352134,0.091242425,0.022278914,-0.065403126,-1.8369701e-16,7.046994e-10,1.0,0
72,0.09136364,0.11141202,0.09136364,0.020048372,-1.8369701e-16,1.0,4.730889e-08,1.0,0
73,0.09119084,0.11964441,0.091190845,0.02845357,0.065403126,2.8327693e-16,5.5169433e-09,1.0,0
74,0.09141791,0.12049223,0.09141791,0.029074324,0.13052619,-1.0,7.5471523e-10,1.0,0
75,0.0914697,0.11379889,0.0914697,0.022329193,0.19509032,-1.8369701e-16,2.7868438e-08,1.0,0
76,0.09803031,0.112312935,0.0980303,0.014282632,0.25881904,1.0,8.17884e-09,1.0,0
77,0.096389145,0.12160835,0.096389145,0.02521921,0.32143947,2.8327693e-16,9.08e-43,1.0,0
78,0.094747975,0.123371206,0.094747975,0.028623234,0.38268343,-1.0,0.0,1.0,0
79,0.093106814,0.116101496,0.093106814,0.022994686,0.4422887,-1.8369701e-16,0.0,1.0,0
80,0.09146565,0.112858415,0.09146565,0.02139276,0.5,1.0,0.0,1.0,0
81,0.09120455,0.11681301,0.09120455,0.025608458,0.55557024,2.8327693e-16,0.0,1.0,0
82,0.090909086,0.118892446,0.09090909,0.027983354,0.6087614,-1.0,0.0,1.0,0
83,0.09089313,0.112108156,0.09089313,0.02121503,0.6593458,-1.8369701e-16,0.0,1.0,0
84,0.091378786,0.10932402,0.091378786,0.017945228,0.70710677,1.0,0.0,1.0,0
85,0.097175576,0.113137394,0.09717557,0.015961817,0.7518398,2.8327693e-16,0.0,1.0,0
86,0.09157576,0.11677986,0.09157576,0.025204103,0.7933533,-1.0,0.0,1.0,0
87,0.09120455,0.10999124,0.09120455,0.018786699,0.8314696,-1.8369701e-16,0.0,1.0,0
88,0.0912061,0.10891329,0.0912061,0.017707173,0.8660254,1.0,0.0,1.0,0
89,0.09176336,0.111155964,0.09176336,0.019392611,0.89687276,2.8327693e-16,0.0,1.0,0
90,0.09183969,0.1135684,0.09183969,0.021728715,0.9238795,-1.0,0.0,1.0,0
91,0.09190076,0.10808072,0.091900766,0.016179966,0.9469301,-1.8369701e-16,0.0,1.0,0
92,0.12217557,0.10931408,0.122175574,0.012861488,0.9659258,1.0,0.0,1.0,0
93,0.11393893,0.11915465,0.11393893,0.005215723,0.98078525,2.8327693e-16,0.0,1.0,0
94,0.10570229,0.12192479,0.10570229,0.01622249,0.9914449,-1.0,0.0,1.0,0
95,0.09746565,0.11420985,0.09746566,0.016744211,0.99785894,-1.8369701e-16,0.0,1.0,0
96,0.078931294,0.11199655,0.0789313,0.03306524,1.0,1.0,0.0,1.0,0
97,0.079450384,0.113754325,0.079450384,0.034303937,0.99785894,2.8327693e-16,0.0,1.0,0
98,0.08745802,0.11166571,0.087458014,0.024207694,0.9914449,-1.0,0.0,1.0,0
99,0.07941667,0.1128626,0.07941666,0.033445943,0.98078525,-1.8369701e-16,0.0,1.0,0
100,0.079213746,0.11242179,0.07921374,0.03320804,0.9659258,1.0,0.0,1.0,0
101,0.07948872,0.11273856,0.07948872,0.03324984,0.9469301,2.8327693e-16,0.0,1.0,0
102,0.07963636,0.10807007,0.079636365,0.028433707,0.9238795,-1.0,0.0,1.0,0
